f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f101,f102,f103,f104,iscase
-252.3034515,-677.2332153,131.4490051,-434.7845764,154.0103149,-75.91993713,55.51284027,62.29227066,77.19830322,-82.98078918,33.18030548,1.310813189,42.59287643,-86.23300171,34.24403381,-7.593494415,40.94670868,-39.75910187,20.45077133,2.342312336,33.76586151,-42.35662842,16.40217018,3.892958164,20.96712875,-7.593494415,19.03763008,-14.1933136,33.57575989,-50.79692841,16.58787346,0.295768559,18.85600853,-48.24250793,15.14460564,-11.29968548,22.62688828,-25.89440536,10.30142212,4.518312931,23.62744904,-60.73672485,15.91580486,-13.44726181,15.42178249,-7.593494415,10.28475094,-6.320590019,18.0351181,-29.56751251,11.69754314,-4.544526577,0.137015984,0.095052083,1,0.001245107,0.360802352,0.362140238,1,0.005319882,0.330480635,0.478489846,1,-7.593494415,0.37951535,0.550988615,1,0.000862634,0.335407406,0.378388613,1,0.001032318,0.304112971,0.239219874,1,0.000183282,0.322709858,0.239156291,1,0.000119033,0.272779852,0.19599615,0.894806325,-7.593494415,0.230586588,0.178191349,1,0.00440179,0.315915883,1,0.000349392,0.380920142,0.323405981,1
-304.9445496,-681.1286011,101.9655914,-434.1534729,146.3772888,-59.94895935,50.45864487,70.79982758,58.91477585,-46.44395447,23.74495316,12.4165287,38.76702499,-95.65940857,34.39035034,-21.08222771,45.78133011,-59.4391098,25.33729172,-7.378585339,45.15509796,-47.24808502,19.53611565,5.511951447,15.3113575,-21.08222771,15.1185112,-12.43982983,36.37026215,-49.45479584,21.53960228,0.220041141,19.97029686,-57.27472687,15.6732235,-16.29109001,25.99256897,-25.57831955,11.82923889,1.564839244,14.15101051,-58.39137268,13.48605156,-21.28517723,17.45843887,-21.08222771,11.10255909,-3.604873896,14.35382462,-28.41446304,9.907552719,-6.35763216,0.144681073,0.098198042,1,0.001496481,0.391617,0.324661136,1,0.001333036,0.372168303,0.48667714,1,-21.08222771,0.372283548,0.58517319,1,0.000679546,0.352804571,0.369483858,1,0.000168031,0.295503497,0.192674145,1,0.000155956,0.276996881,0.152726576,0.871053457,8.82E-05,0.19424139,0.09510684,0.823953807,-21.08222771,0.167125642,0.079137065,0.825755715,0.001081203,0.181998909,1,0.00031,0.342780292,0.224345788,1
-292.6920776,-680.5836182,108.816597,-443.9208679,132.6842957,-74.04209137,54.48918915,39.49912262,81.71705627,-37.24391937,20.26451302,10.76724243,51.94577026,-58.20819855,26.03739738,6.13426733,45.50244141,-33.50315475,20.57574844,7.7187047,34.35606766,-45.26670837,19.52376747,0.843059421,15.37242508,6.13426733,19.83300781,-13.45902538,32.02064896,-48.44396973,17.12337303,-1.792297602,19.74594116,-54.51794815,17.07855034,-12.8258791,21.72935486,-33.32258606,12.50025272,1.57659483,11.97556877,-56.59722137,15.3108654,-18.26530457,17.6324234,6.13426733,12.98832226,-5.992613792,18.51111412,-25.2940712,11.04505062,-3.518564463,0.171097063,0.129617573,1,0.000295846,0.390447706,0.416021079,1,0.002761036,0.33649075,0.656311929,1,6.13426733,0.339339167,0.62025851,1,0.000678228,0.344010144,0.34804064,1,0.000256813,0.281639993,0.191062048,1,7.67E-05,0.270272672,0.155696169,0.995601594,6.37E-05,0.263776481,0.147047713,1,6.13426733,0.284281999,0.168739006,0.95192641,0.000113643,0.251282692,1,0.000407174,0.323267996,0.270917207,1
-231.7086182,-663.7508545,119.9566727,-405.8921509,148.2234192,-60.7458725,54.52106857,62.22512817,86.89193726,-82.20871735,38.73314285,6.885269642,54.08182526,-85.65936279,34.41770554,-13.24659729,40.38998032,-46.41220093,23.20726585,-2.0273633,41.87879562,-49.74516296,18.09114075,3.351613998,20.44503784,-13.24659729,18.8066349,-12.04418087,36.00095367,-55.27231598,18.25665665,-0.001942963,13.46400738,-55.52163315,14.66477299,-15.4424181,28.44577789,-24.13492012,11.75321579,4.53175211,16.76408768,-60.36717224,15.03936863,-14.5621624,14.79272175,-13.24659729,10.15195942,-4.579479218,10.16273117,-30.04577637,9.623673439,-8.395956993,0.153684274,0.118170404,1,0.009207529,0.379363686,0.464306563,1,0.003194699,0.346604407,0.64429915,1,-13.24659729,0.323112071,0.470051318,1,0.001781836,0.301623732,0.26600191,1,0.000196819,0.27405116,0.203605041,1,0.000159096,0.304953545,0.22728534,1,0.000168863,0.27590549,0.204531476,1,-13.24659729,0.304393679,0.260184318,1,0.003749781,0.296138912,1,0.002172877,0.36893943,0.34150061,1
-307.1257324,-727.2598267,112.6971054,-491.3764038,149.9658813,-56.55543518,50.4993782,54.34855652,82.77490997,-26.4353981,22.02349854,20.31640053,54.11077881,-55.95438766,29.61572838,9.100836754,56.00966644,-24.0108757,19.24832153,8.133508682,45.36232758,-39.42527008,21.08057976,1.166300416,22.61854553,9.100836754,15.46794319,-7.156228065,34.17958832,-38.57973099,18.45871162,2.451610804,16.35930443,-44.96335602,14.54737186,-14.90430927,31.31755066,-47.12405396,19.48283386,-2.472067595,14.98575211,-67.04840088,15.06495476,-18.56454468,18.16773796,9.100836754,11.43536091,-5.897094727,15.87800789,-25.81058884,9.82512188,-2.820896149,0.131159359,0.083733259,1,0.000122738,0.386012375,0.327065587,1,9.23E-05,0.31121853,0.243516624,1,9.100836754,0.325463921,0.273213118,1,0.000483826,0.420035332,0.403193384,1,0.000355078,0.400619566,0.415497214,1,0.000349595,0.371323138,0.298950225,1,9.81E-05,0.332733095,0.194747329,0.954567313,9.100836754,0.303068817,0.178075731,1,0.000100938,0.302046567,1,0.000171254,0.396023601,0.350860566,1
-258.915802,-644.1848145,108.4142685,-414.0848389,128.9517975,-63.12610245,45.6700325,52.60603333,67.59140015,-45.57374191,25.32398415,5.60043335,42.89521027,-67.44815826,28.09108353,-3.870418072,45.25631332,-35.26849365,20.4178009,7.054590225,30.90019608,-34.91072083,17.55337143,-1.647700787,15.1916256,-3.870418072,22.76047325,-21.28894806,28.19553757,-51.81663513,17.12217712,-1.901390672,13.79891968,-50.89393234,13.93830395,-12.66872025,22.58184052,-27.36006546,12.62485695,-1.495245814,11.91410637,-66.28215027,16.11169815,-19.64869499,17.97167969,-3.870418072,10.95973969,-6.973912716,17.62526321,-27.79211807,11.75888634,-4.928325176,0.145124754,0.095981174,1,0.000552657,0.316732585,0.247584373,1,0.00152335,0.370369017,0.478634417,1,-3.870418072,0.333098918,0.661290288,1,0.004206283,0.362571359,0.476625293,1,0.00022074,0.327302486,0.236672819,0.984508157,0.000108007,0.232965589,0.115396753,0.931068182,0.000122877,0.217295036,0.091935806,0.90635258,-3.870418072,0.205807284,0.095001146,0.872694016,0.001072242,0.202290833,1,0.000268469,0.320435911,0.214015782,1
-324.407074,-714.2739868,99.97254944,-439.2117004,154.2490845,-74.40061951,51.22555542,60.26337051,66.20298767,-29.65849304,21.73485184,12.52076912,54.24299622,-70.70677185,33.92604828,-3.445196867,50.24448776,-45.01719666,24.55878258,2.283303261,47.14338684,-36.81370163,20.05724335,2.585924625,20.11188126,-3.445196867,16.07283783,-11.59649277,38.4888916,-44.7610817,20.15390587,3.064017296,12.42218018,-53.05456543,14.12092018,-17.60414886,27.54332542,-29.0204277,15.4036026,-2.168778419,9.524282455,-55.10211945,14.19193935,-17.8806572,11.84469223,-3.445196867,9.820098877,-8.131486893,15.22423458,-27.57256317,10.40872097,-7.294720173,0.156106649,0.100902892,1,0.000988398,0.368127286,0.343975306,1,0.008041224,0.346875817,0.444746017,1,-3.445196867,0.35319379,0.619072616,1,0.000519088,0.374241412,0.446570158,1,0.000555533,0.231368184,0.158937693,1,0.000261746,0.283239156,0.140543163,0.934399426,0.000154637,0.21745351,0.118130818,0.872526586,-3.445196867,0.216225252,0.120299451,0.78940779,0.000369825,0.202657536,1,0.00022009,0.273800552,0.19257234,1
-291.3544312,-718.7992554,109.1568527,-469.7266541,150.4368591,-68.20245361,54.87252045,62.45690536,78.44186401,-41.47087097,25.59795189,19.08955383,44.43403625,-70.65583801,26.25709343,-2.574087381,36.35624695,-62.13376617,24.82518196,-2.87920332,60.23897934,-42.19758224,27.09240532,0.846164703,14.31220818,-2.574087381,15.77738094,-9.898458481,52.01069641,-49.59055328,23.06750107,1.825333357,16.05757904,-66.05327606,18.28771019,-16.05600739,22.45571709,-28.81323051,13.34495735,-1.097141385,14.16565132,-44.52918243,13.06570148,-13.8536644,15.94951057,-2.574087381,13.26304722,-8.575393677,15.05991936,-25.24688721,9.750982285,-5.20951128,0.151609303,0.099846117,1,0.000210321,0.37219435,0.324976981,1,0.001214299,0.403838724,0.408205777,1,-2.574087381,0.32522893,0.455188483,1,0.00110776,0.358858824,0.487450153,1,0.000537867,0.355485499,0.34182331,1,0.00043925,0.319136024,0.234948397,0.94661212,0.000225786,0.23056601,0.155504316,1,-2.574087381,0.274098247,0.149892434,1,0.000482769,0.276482224,1,0.000250117,0.346646667,0.292634517,1
-270.8159485,-653.0907593,99.35778809,-410.8843079,137.2409973,-60.51570892,48.84521866,58.8233757,59.68309784,-46.17309952,27.77922249,16.3548069,38.22833252,-71.36022949,26.52769852,-2.100338697,38.54183578,-71.56399536,29.0532093,-11.18424511,39.15271759,-44.10643005,23.86628342,-2.529846907,14.75907135,-2.100338697,15.61659145,-13.44452286,40.97557831,-43.62838745,22.75588989,4.117472649,10.36593246,-55.59310913,14.23355484,-22.31966209,20.69145393,-42.88503265,15.55090046,-2.698356152,6.673260689,-57.2074585,15.75544262,-16.17765999,15.88002777,-2.100338697,11.53916454,-9.111758232,7.267965794,-22.54377365,6.652739048,-8.53451252,0.132008215,0.091064453,0.839234054,0.000480583,0.246669486,0.117661133,1,9.30E-05,0.359171003,0.186271504,1,-2.100338697,0.32725352,0.285137713,1,0.027531289,0.348615587,0.563772202,1,0.029420808,0.370422393,0.658972085,1,0.0040885,0.253183633,0.24382022,1,0.000189786,0.211711869,0.100450151,1,-2.100338697,0.188665181,0.082524344,0.715619981,0.000174265,0.170087785,0.71261698,0.000392424,0.143319175,0.088342384,1
-289.0970154,-707.2695923,106.2043152,-462.4358826,139.4989014,-67.12936401,53.50426102,61.2743988,61.80435562,-30.25104141,23.60607147,20.54829788,47.54092407,-64.09313965,30.65459442,-5.57212162,35.84654236,-47.18965149,22.31158447,-3.168115377,55.46174622,-48.57866669,24.06855774,6.283638477,17.42728806,-5.57212162,16.08156013,-10.27562237,35.60028839,-50.98634338,20.81830406,-1.912253976,8.552823067,-52.52344131,14.70824909,-16.18055725,28.70812225,-17.69968796,11.31357193,2.107591629,7.791910172,-58.81259918,12.98816395,-18.83279037,25.16740227,-5.57212162,14.11037064,-5.951450825,16.20801735,-24.38318634,9.01167202,-6.861838341,0.132329742,0.098291791,1,0.001496715,0.354272902,0.307843506,1,0.003733246,0.377755225,0.554159701,1,-5.57212162,0.355597854,0.59742707,1,0.001066844,0.326742887,0.370718837,1,0.000501229,0.325760454,0.240896553,0.977913082,0.000269022,0.229158938,0.155532405,1,7.67E-05,0.216125026,0.115422726,1,-5.57212162,0.265109062,0.127305657,1,0.000811055,0.251978129,1,0.000149369,0.305097669,0.203101948,1
